trace_id,topic,expected_value,claim_boundary,source_artifacts_exist,report_covered,ppt_covered,fully_covered,source_artifacts,report_fragments,ppt_fragments,missing_report_fragments,missing_ppt_fragments,missing_source_artifacts
live_execution_bundle,Live execution bundle,bundle 8 / live calls 382,execution_bundle_no_live_calls_no_secret_values,True,True,True,True,outputs/research_progress_snapshot/live_execution_bundle.md,Live execution bundle; live_execution_bundle_no_live_calls_no_secret_values; Bundle steps: `8`,bundle 8,,,
live_execution_handoff_packet,Live execution handoff packet,packet 7 / P0 5,live_execution_handoff_no_live_calls_no_secret_values,True,True,True,True,outputs/research_progress_snapshot/live_execution_handoff_packet.md,Live execution handoff packet; live_execution_handoff_packet_no_live_calls; Packet rows: `7`,handoff 7,,,
live_command_surface_audit,Live command surface audit,ready 3/3 commands,command_surface_no_live_calls_no_secret_values,True,True,True,True,outputs/research_progress_snapshot/live_command_surface_audit.md,Live command surface audit; live_command_surface_audit_no_live_calls; Command-ready: `3`; skip-existing commands 3; bounded-retry commands 3,cmd audit 3/3; skip 3/3; retry 2x,,,
live_execution_launcher,Live execution launcher,selected 139 / available 382,launcher_dry_run_no_live_calls_execute_live_requires_flag,True,True,True,True,outputs/research_progress_snapshot/live_execution_launcher.md,Live execution launcher; live_execution_launcher_dry_run_no_live_calls; Launcher selected calls: `139`; Started live command calls: `0`; Postrun refresh executed: `False`; Execute record exists: `False`,launcher 139,,,
live_execution_eligibility_gate,Live execution eligibility gate,pass 2 / blocked 5,live_execution_eligibility_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/live_execution_eligibility_gate.md,Live execution eligibility gate; live_execution_eligibility_gate_no_live_calls_no_secret_values; Eligibility rows: `7`; Ready to execute live: `False`,eligible 0,,,
live_execution_receipt_audit,Live execution receipt audit,record False / started 0,live_execution_receipt_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/live_execution_receipt_audit.md,Live execution receipt audit; live_execution_receipt_audit_no_live_calls_no_secret_values; Receipt rows: `6`; Execute record exists: `False`,receipt 0,,,
live_output_repair_plan,Live output repair plan,repair 3 / missing 382,repair_plan_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/live_output_repair_plan.md,Live output repair plan; live_output_repair_plan_no_live_calls_no_scoring; Repair rows: `3`; Missing calls: `382`,repair 3,,,
live_resume_state_audit,Live resume state audit,clean 3/3 surfaces,resume_state_no_live_calls_no_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_resume_state_audit.md,Live resume state audit; live_resume_state_audit_no_live_calls; Clean-run surfaces: `3`; bounded retry supported 3,resume state 3/3,,,
live_runtime_environment_audit,Live runtime environment audit,checks 14/14,runtime_env_no_live_calls_no_secret_values,True,True,True,True,outputs/research_progress_snapshot/live_runtime_environment_audit.md,Live runtime environment audit; live_runtime_environment_audit_no_live_calls; Checks passed: `14`,env 14/14,,,
live_execution_timing_plan,Live execution timing plan,deepseek 139 calls / 384.444s,timing_plan_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_execution_timing_plan.md,Live execution timing plan; live_execution_timing_plan_no_live_calls; DeepSeek estimated wall: `384.444`,timing P0 384s,,,
live_retry_budget_audit,Live retry budget audit,max requests 764 / P0 278,retry_budget_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_retry_budget_audit.md,Live retry budget audit; live_retry_budget_audit_no_live_calls; Max attempted requests: `764`,retry budget 764,,,
live_token_quota_budget_audit,Live token quota budget audit,llm retry token proxy 1658856 / P0 801724,token_quota_budget_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_token_quota_budget_audit.md,Live token quota budget audit; live_token_quota_budget_audit_no_live_calls; LLM retry token proxy ceiling: `1658856`,token budget 1.66M,,,
live_failure_recovery_playbook,Live failure recovery playbook,scenarios 8 / current blockers 5,failure_recovery_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_failure_recovery_playbook.md,Live failure recovery playbook; live_failure_recovery_playbook_no_live_calls; Scenarios: `8`,recovery 8,,,
live_metric_extraction_contract,Live metric extraction contract,metrics 8 / time 3,metric_extraction_schema_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_metric_extraction_contract.md,Live metric extraction contract; live_metric_extraction_contract_no_live_calls; Metric contracts: `8`,metrics 8,,,
live_output_schema_contract,Live output schema contract,schemas 8 / fields 62,output_schema_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_output_schema_contract.md,Live output schema contract; live_output_schema_contract_no_live_calls; Schema contracts: `8`,schema 8,,,
post_live_acceptance_scorecard,Post-live acceptance scorecard,scorecard 9 / blocked 6,acceptance_scorecard_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/post_live_acceptance_scorecard.md,Post-live acceptance scorecard; post_live_acceptance_scorecard_no_live_calls; Scorecard rows: `9`,scorecard 9,,,
post_live_latency_claim_matrix,Post-live latency claim matrix,latency claims 8 / claim-now 4,latency_claim_matrix_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/post_live_latency_claim_matrix.md,Post-live latency claim matrix; post_live_latency_claim_matrix_no_live_calls; Latency claim rows: `8`,latclaim 8,,,
post_live_time_metric_statistics_plan,Post-live time metric statistics plan,time stats 9 / blocked 5,time_statistics_plan_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_time_metric_statistics_plan.md,Post-live time metric statistics plan; post_live_time_metric_statistics_plan_no_live_calls; Time statistic rows: `9`,time stats 9,,,
post_live_time_metric_extractor,Post-live time metric extractor,extractor 3 / ready 0,time_metric_extractor_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_time_metric_extractor.md,Post-live time metric extractor; post_live_time_metric_extractor_no_live_calls; Extractor rows: `3`,extractor 3,,,
post_live_time_metric_receipt_audit,Post-live time metric receipt audit,pass 1 / rows 6,time_metric_receipt_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_time_metric_receipt_audit.md,Post-live time metric receipt audit; post_live_time_metric_receipt_audit_no_live_or_scoring_calls_no_secret_values; Time metric receipt rows: `6`; Ready for time claim promotion: `False`,timereceipt 1/6,,,
post_live_scoring_execution_plan,Post-live scoring execution plan,scoring steps 6 / P0 3,scoring_execution_plan_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_scoring_execution_plan.md,Post-live scoring execution plan; post_live_scoring_execution_plan_no_live_calls; Scoring execution steps: `6`,scoreplan 6,,,
post_live_scoring_launcher,Post-live scoring launcher,ready 0 / executed 0,scoring_launcher_dry_run_no_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_scoring_launcher.md,Post-live scoring launcher; post_live_scoring_launcher_dry_run_no_scoring_calls; Ready scoring rows: `0`; Executed scoring rows: `0`; Scoring execute record exists: `False`,scorelaunch 0,,,
post_live_scoring_receipt_audit,Post-live scoring receipt audit,record False / executed 0,scoring_receipt_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_scoring_receipt_audit.md,Post-live scoring receipt audit; post_live_scoring_receipt_audit_no_live_or_scoring_calls_no_secret_values; Scoring receipt rows: `6`; Scoring execute record exists: `False`,scorereceipt 0,,,
post_live_scoring_output_audit,Post-live scoring output audit,outputs ready 0 / rows 6,scoring_output_audit_no_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_scoring_output_audit.md,Post-live scoring output audit; post_live_scoring_output_audit_no_scoring_calls; Scoring output rows: `6`; Promotion-ready rows: `0`,scoreout 0,,,
post_live_evidence_dependency_dag,Post-live evidence dependency DAG,dag 10 / blocked 10,evidence_dependency_dag_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_evidence_dependency_dag.md,Post-live evidence dependency DAG; post_live_evidence_dependency_dag_no_live_calls; DAG nodes: `10`,dag 10,,,
post_live_promotion_preflight_audit,Post-live promotion preflight audit,blocked 4 / ready 0,promotion_preflight_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/post_live_promotion_preflight_audit.md,Post-live promotion preflight audit; post_live_promotion_preflight_audit_no_live_or_scoring_calls; Preflight rows: `6`; Ready for promotion review: `False`,preflight 0,,,
live_parallelism_sensitivity,Live parallelism sensitivity,max20 / 8 workers,parallelism_plan_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_parallelism_sensitivity.md,Live parallelism sensitivity; live_parallelism_sensitivity_no_live_calls; Recommended policy/workers: `max20` / `8`,parallel 8w,,,
live_postrun_closure,Live postrun metrics closure,DeepSeek success 8; Omni48 success 0,pending_live_outputs,True,True,True,True,outputs/research_progress_snapshot/live_postrun_metrics_closure.md,Live postrun metrics closure; DeepSeek success calls: `8`,postrun closure,,,
live_output_audit,Live output audit,missing surfaces 3,blocked_missing_output,True,True,True,True,outputs/research_progress_snapshot/live_output_audit.md,Live output audit; live_output_audit_no_live_calls; Missing output surfaces: `3`,output audit,,,
live_scoring_readiness,Live scoring readiness,ready 0/5,blocked_waiting_live_outputs,True,True,True,True,outputs/research_progress_snapshot/live_scoring_readiness.md,Live scoring readiness; live_scoring_readiness_no_live_calls; Scoring steps: `5`,scoring ready 0/5,,,
live_input_integrity_audit,Live input integrity audit,ready 3/3,input_integrity_no_live_metric_claim,True,True,True,True,outputs/research_progress_snapshot/live_input_integrity_audit.md,Live input integrity audit; live_input_integrity_audit_no_live_calls; Input-ready surfaces: `3`,input ready 3/3,,,
post_live_claim_promotion_gate,Post-live claim promotion gate,ready 0 / gates 8,promote_only_after_output_audit_scoring_slo_and_traceability_pass,True,True,True,True,outputs/research_progress_snapshot/post_live_claim_promotion_gate.md,Post-live claim promotion gate; post_live_claim_promotion_gate_no_live_calls; Ready to promote: `0`,promotion gate 0/8,,,
post_live_claim_promotion_receipt_audit,Post-live claim promotion receipt audit,pass 3 / rows 6,claim_promotion_receipt_no_claim_writes,True,True,True,True,outputs/research_progress_snapshot/post_live_claim_promotion_receipt_audit.md,Post-live claim promotion receipt audit; post_live_claim_promotion_receipt_audit_no_live_or_scoring_or_claim_writes_no_secret_values; Claim promotion receipt rows: `6`; Ready for claim write: `False`,claimreceipt 3/6,,,
runtime_replay_manifest,Runtime replay manifest,6 runtime stages,writeback_right_explicit,True,True,True,True,outputs/research_progress_snapshot/runtime_replay_manifest.md,runtime replay manifest; runtime replay,runtime audit,,,
memory_update_replay,Memory update replay,4 review cases blocked from memory update,memory_only_no_timeline_rollback,True,True,True,True,outputs/research_progress_snapshot/memory_update_replay.md,memory replay; memory_update_audit_replay,memory,,,
claims_manifest,Claims manifest,12 claims with source artifacts and validation checks,claim_strength_explicit,True,True,True,True,outputs/research_progress_snapshot/claims_manifest.md,Claims manifest; selector_generalization_positive; do_not_deploy,Snapshot,,,
next_experiment_queue,Next experiment queue,P0 split20 + true-heldout,future_work_queue,True,True,True,True,outputs/research_progress_snapshot/next_experiment_queue.md,Next experiment queue; full_split20_live_104w; true_heldout_selector_recordings,P0 split20+heldout,,,
